commentText,likes
I'm hungry now. :(,0
"That method would be ideal for a cake with fondant icing (as shown in vid).  I wouldn't mess with buttercream or ganache frosting or a gateau cake , ummm what's wrong with covering it with cling wrap or putting it in an air tight container?",0
it isn't practical way at all,0
way too much trouble...unless you're cutting a $1000 cake or something,0
I would like to see you do that with a cream cake meaning the rubber bands lol,0
"I have a heart-shaped cake. If I cut it in half, I'll be heart broken. How sad 😥",0
if i cut my slices like shown in this video i would have diabetes by now,0
I will finish the whole cake for my birthday!,0
Someone has apparently never heard of Glad bags....,0
Your amount of cake slowly decreases...,1
What if i want to eat the whole damn thing,0
"uneven cake-to-icing ratios, people don't get equal pieces, you have to cut EXACTLY orthogonal, the rubber band is gross and would not work anyway, cake doesn't dry out if you COVER IT, makes the leftover cake look ugly and unappealing, ... would you like me to go on? Terrible idea. Get a square cake if you want a square cake.",1
now i am craving for the cake bye :D,0
"Cake sellers should advertise this method since you now don't need a special event for cake, you can now eat cake regularly without it becoming hard and crumbly. On the other hand this will be terrible for the public health.",0
Does this work on other flavors of cake?,0
When u gonna push the cake pieces together...icing is gonna mess up...i would prefer eating it all alone.,0
fire this guy,0
"Call me genius please... 
Before he betrayed the solution, I came up with the idea.
14 million views for this simple logical thing?",0
but it's gonna work only for clay cake,0
Rubber band = bad cake,0
or you could just eat the whole thing like me.....?,0
He went to my school,0
hahahaha interesting way but I have to say most people don't care about whether cake's side is dry.,0
Ain't nobody got time for this!,0
First thing I thought was to cut down the middle and push it together.,0
"i dont think this is a problem for anyone in the world my friend , i disappear cakes for example",0
Who's going to do that? I thinks that's the slowly way to cut it! You need to be more productive and fast!,0
I lost five minutes of my fucking life,0
HAHA ! It doesn't work at all unless you have big rubber band which would definitely break your cake if it is a bit softer than this one. And who buys a cake and eats only one part of it ? Nobody !,0
Plastic wrap was invented for this reason,0
"All these supposedly there is any cake left to cut the next days :P.
I mean, who keeps a cake more than a day uneaten?",0
I would eat it all in one day LOL,0
"Τι μαλακίες είναι αυτά ρε φλώροι; Τρώτε ένα κομμάτι σήμερα, ένα αύριο; ΦΛΩΡΟΙ",0
On the basis all cakes are firm enough to be pushed together and hold by a rubber band : sadly the answer is no. Maths are cool but not always practical.,0
"I don't believe in climate change, nor this scientific nonsense cake cutting. Science is just something made up by liberals to push their agenda. Ha, in my world one plus one does not equal two. That's liberal propaganda. (Sadly, this is not too much of an exaggeration of how many people think, or don't think.)",0
I don't see the great revelation.  The second that I saw the post about this video this solution occurred to me.  It's not that I am so smart.  The solution is just so trivial.,0
"this assumes that optimality for cakes is measured in longevity - or consistent ""gastronomic pleasure"" over time. One could argue that equal portions with equal amounts of icing is another measure of optimality. And as many here point out,  the latter is a better social and party-themed objective function than the former which just makes one seem lonely and creepy.",0
Instead of doing all that work--simply put a piece of plastic over any exposed area--problem solved--no stale cake.,0
NO thank you.,0
or have a pastel de tres leches it'll always stay moist,0
Happy Birthday but how many times did you touch that cake with your fingers and palms? Yuck! Also where had those rubber bands been prior to wrapping around cake. Looks like cake did not have typical butter cream frosting. Cake could still be cut in fashion you demonstrated but maybe with a little less handling.,0
"It's me again, I was wondering if the mathematician that ""invented "" this cake slicing method in 1906 was the same guy that invented slicing a round pizza up and down and left to right to form squares pieces? Was he eventually committed?",0
"After viewing this video it appears to me that as the cake is sliced the sliced get progressively smaller. Although i agree with the idea of keeping the cake moist over a few days, there are other ways of achieving this (plastic wrap on each side?). There has to be a better way where all slices are of the same size for the entire cake. If restaurants sliced round cakes using this method I would not want to pay full price for a smaller slice near the end of the cake just because it was kept moist by some mathematical slicing method! I want my money's worth! But thanks for sharing, it was certainly a learning experience about round cake slicing and something I have never seen before. I bake cakes at home and I think the solution for keeping every last bit of cake moist over a few days is to bake square or rectangular cakes and slice them using the same method in the video. Problem solved. Cheers from the USA.",0
cake cutting for perfectionists :D,0
please give me back the 2 minutes i wasted on this.,0
"I knew this, ...but...cake shouldn't get to day 3...!!!",0
"As an executive chef of over 20 years I would like to say to all the "" food "" people that do videos like this STOP, please just stop...Not how to cut a round cake and anyone that has ever worked a wedding as a caterer would tell you that.",0
Another liberal trying to tell people what to do. Just cut the damn cake any way you want and eat it.,0
This is why no one wants to go to parties thrown by mathematicians!  A proper cake won't last more than a few minutes guys.,0
watched this to prepare for my bday tomorrow :p,0
"This works as long as you cut even number of pieces out of the cake. But what if, for example on day two, you want three pieces (not 2 or 4)? It's of course not a big deal, but because this gentleman claimed he is using science in his method, then he has to offer a solution for the exceptions two. Otherwise, it is a scientific method which works only sometimes and fails in all other cases.",1
After 3 days in a row no cake for me lol,0
that is the best way to cut a cake if you are not going to finish it.,0
"This is definitely not the ""mathematically perfect"" way to slice a cake, as the cake-to-icing ratio changes as the cake gets smaller. Cutting it the normal way, in triangles, makes sure every slice has the same cake-to-icing ratio.",0
What if you have a square cake?,5
"Pues en mi país se acaba todo el pastel, y si sobra se guarda en tupperware. Que casi nunca sobra. jaja",1
i feel like disliking purely cause it made me hungry,0
that's great!,0
"If you still have cake left over from the previous day, I'm doubting it was a delicious cake to begin with.",2
I've actually seen this in an old tv show. Except the person used this method to hide the cake he stole.,0
I've tried out this way in my sponge cake and it was a complete disaster. this way only applies for a coherent cake like brownies .,1
"What if you don't have a cake that's as neatly prepared as this guy's? What if you don't want icing all over the place? What if a slightly dry cake is actually great, because it let's the flavours to meld and mature?",0
"But you have to move the cake D:
No one likes to destroy an cake to cut it in a scientific way D:",0
HOW ARE WE GONNA PUT THE CAKE BACK TOGETHER?!,0
I would rather eat the dried one tomorrow than finding and placing a rubber band on my cake. Psyke!,0
"with love from Perth, Australia!",0
"To tell the truth I've never suffered from my cake being hard and crispy. I've suffered from it not being enough, or how to divide it between odd number of people.",0
"That's brilliant! =D 'Happy Birthday (again)', lol!",0
"And it takes a 'genius' to figure that out?... 
Britain... Interesting culture differences.",1
Running out of ideas?,2
I can't remember the last time I bought or baked a whole cake. Only only eat it by myself one slice at a time.,0
I thougth this video was going to be how to divide cakes in odd numbers precisely =(,0
The problem with this clip is that I don't think you named the inventor. And the problem with the method is that you get differing size slices each time. You can adjust for that by increasing the width of the band as you proceed outwards but you're always going to be faced with either a very large of very thin slice on day one.,0
just use a tupperware !,1
The problem with this analysis is that it assumes there is any cake left to put into the fridge.,29
nowadays bday cakes are not eaten .. they all become nasty in friends faces,0
13 464 104 views not bad,0
This is diabolically genius,0
Brilliant!,0
"First way is also bad because judging to the center point is likely to be inaccurate so even if you then get equal distance slices apart, they won't be equal size as each point will get more/less towards center of cake.",0
That's the reason no one invites you to birthdays Bob,2
No. Just no.,1
This reminds me of that one episode of The Amazing World of Gumball!,0
"wtf who keeps a cake uneaten for more than 10minutes to care about this?
You deserve a vegetarian wife my friend.",1
No it won't work.,0
"Now I want a cake, and it's 2am thx!",0
"I thought about this when I was a kid, but to write a paper about it didn't come to my mind. ^^",0
Happy year late birthday,0
... or you could cover it with cling film...,0
step 1 ... get cake / step 2 ... cake is a lie,0
"The cake is iced in a hard icing... this won't work for buttercream cakes. I tell you what will work, throwing some plastic wrap over it... yeah that should do it.",1
THAT RUBBER BAND IS IRRELEVANT,0
I like harder cake tho :(. I don't want the inside to be so soft D:.,0
I'll stick with the traditional way.  Leave to somebody to complicate a simple task.  This video did it.,0
Well the traditional way work because you share the cake with other ppl. With this method different ppl get different size pieces. That would end friendships from where I'm from.,6
Nope... not enough frosting for each person,0
ne prdi,0
":'( rappelle-moi de ne pas venir à ton anniversaire ! entre le temps que tu mets et les tripotages... :'( :'( 

mais bon on te pardonne... enfin, si on a le temps :D :D",0
holy fck! rubber band?!😆,0
just eat it all at once...,13
who scientist to prove it?,0
I hate cakes :(,0
"4:42 ""I think for the um.. mathematical loners, who don't want to share their cakes, it could be useful"".. -_-",0
Infinite cake?,0
The really UN-mathematical thing about this method is trying to evenly distribute individual slices to party guests. It'd be quite hard to give everyone an equal slice with this method. The traditional way suits me!,21
Thanks for making math fun!,0
Remove this video this is causing Global Warming. LOL,4
i wish the rubber bands are sanitized ................,0
interesting,0
That's so inconvenient if you care that much just put it in a ziplock bag,0
"Now, what is the best way to get 3 slices of cake while still having it fresh for the next day in the least amount of slices, your method only will be used if you are the only person eating the cake and takes too long if more than 1 slice is needed.",0
Now I want cake! Bummer! lol,0
"Who the heck saves their birthday cake until the next day? You eat it all, on your birthday.",3
"Oh wow, before the guy said the way to cut the cake, I was thinking of that method :P",0
"I haven't even finished this video yet, but the reason you cover your cake before putting it in the fridge is so it DOESN'T get dry. Would save you a lot of trouble if you did that.",0
"well, yes but the advantage of the usual way to cut cake is the equality of each piece. still nice.",0
"And here I though he was gonna talk about ""GABRIEL'S CAKE"" and cut it infinitely",3
The cake to icing ratio on the last slices would be bad,56
The best way you have to eat all the cake without letting it becoming dry and horrible is to eat it all in the same day :),0
dry cake best cake,0
I wouldnt eat this cake after the first slice because he use his dirty hands on it to put it all together....,2
This is brilliant!  How FUN!,0
"Well, you wouldn't cut just one slice for one person (birthday party), unless you'd be celebrating your birthday by yourself... Lonely  and sad.",0
"Scientifically...I would have to disagree. Cutting a circular cake in what is known as the pie or triangular shape; allows for each slicing to have a better balance of more icing in collection to the slice of cake, giving an equal amount of extra icing for each person.  It also allows the cake to stand upright Note...the cake not drying out is why they created cake covers. Who would leave out an uncovered cake? I don't even think I would eat a cake that was left out uncovered. a piece of wax cooking paper placed on the exposed piece of the cake would also be helpful.",0
Ugh... Fondant...,0
It seems it was easier to publish in Nature in those days..,0
Why... Why would you do this,0
Also the cake is a lie.,0
"Who eats a cake alone?I think usually cakes are nearly finished the same day they are bought :D 

TBH the ""perfect way"" is a pretty horrible way in practice (unless you really eat cakes alone, in that case it's least of your problems) when you have many people sharing the cake.

Basically a proof of how models do not always reflect reality correctly :D",1
"i didn't watch the video, i'm just aimlessly commenting like a dumbass",1
I figured out the same method within about 10 seconds of him explaining why the normal one is bad... I thought it would be obvious if you actually concerned yourself about things like these,0
YOU FORGOT ABOUT THE ICING!!!!!!!!!,0
"At a social event its nice to have all the slices the same size so you can distribute it evenly. 
At a personal event you cut a cake on an off-centered point, resulting in slices of different sizes. This is so people who want more can get a bigger slice and people who want less still have a nice wedge instead of a really long and thin slice",0
who eats only 1 piece of cake on their birthday oO also there are friends and family who will eat it with me... so only cake on 2 days max,0
the last pieces will just be mostly frosting.,0
"Placing two slices of bread on the open triangle cut can fix that problem, I've heard. You might discard a very thin layer of the triangular cut. I'm just saying",0
thats only for a person who has birthday on their own. nobody else there to eat the cake. ok thanks. which reminds me i actually bought myself a cake. Yes ppl its like birthday everyday when you are alone :) 'goes to eat a cake',0
"What is this foreign concept of a ""leftover cake""?",452
Who has leftover cake for the next day?,0
This method is useless in the USA because americans will always eat all the cakes in one sitting.,0
"""Mathematical loners who don't want to share their cake.""

Me.",63
"Only for the solo party guys/girls over here, my brother, sister and i would fight over the biggest piece!! 
equal sharing keeps the peace :-) so 8 pieces out of one cake, 4 cuttings, easy!",0
Eddie Izard? Is that you?,0
"Man, that's such a wasteful and messy way to cut a cake... Is it so hard to simply make a nice neat slice and then use a spatula rather than digging through the whole thing with your sticky hands?

Those rubbers bands though, urgh...",2
The cake is a lie.,0
"Interesting method, really. Mathematically interesting. Even though you can't do that to most of the cakes, that get ruined if you just touch them (f.e: because of the cream, or dulce de leche, chocolate, whatever...), or you can't move them safely because they're stucked to the mold or the tray; it's still interesting. It's fine for plain and simple bizcochuelos like those ones in your vid, but just for this type of cake.
Why don't just covering them inside of the refrigerator? X)",0
Now I want cake!,0
what if my cake is a rectangle? same? hahahahaha,0
"Hi Alex, my name's Dave and I work at WalesOnline, base in Cardiff, Wales. I was hoping it would be ok to use your great video on the scientific way to cut a cake. Thanks",0
amazing,0
something is wrong with the icing on your cake if that rubber band doesn't mess everything up,25
Couldn't you just vacuum seal the cake in plastic wrap?,0
"The title should be: The Disastrous way to cut a cake, it's very funny tho, but not interested in eating a 3-4 days old cake that have been all touched by the hands of who's cutting it (Definetely this is not the doctor's way of cutting a cake). The elastic part was priceless!",2
who has a birthday on his own! and keeps taking a peice a day though the week.. thats sad!,0
OMG i'm so hungry... why am I even watching this,0
Use some cling film,0
Who puts left over cake in the fridge? It just dries it,0
"I have a question though, because I thought the answer to this problem was going to be something different.

I thought that you could cut a slice out of the cake in such a way to maximize the amount of cake you have in the slice while minimizing the perimeter of the slice (i.e. what is exposed to the air). Can one of the professors answer this question for me? ^_^",0
doesnt work with icecream cake,3
"math=good, but i'm not picky. so i'm just gonna keep cutting wedges. OR... you could just eat the whole cake in one sitting.",0
"I only buy square cakes i.e. those delicious and wonderful Pepperidge Farm 3 layer cake for under $5.00.  Cut the square cake twice from corner to corner, then again from the remaining 2 corners for 4 equal pieces or twice for 8 equal pieces.  No arguments from anyone especially the cocoanut or lemon cake.",0
"""Mathematical loners"" ha ha ha..!",0
Am i the only one who dont have this problem? Cakes dont last 2 days at my house,0
"""satisfying snap of elastic bands""? You're kidding right? I cringed every time! ;) lol",0
But what if i want only one slice?,0
I wish I was that guy. That guy has cake.,266
"don' take away the magic of cakes. And normally we cover the rest of the cake before store it in the fridge. You mustn't do everything the scientic way. If somebody would cut a cake I made with so much love and time like you, I wouldn't never bake a cake for this person. This is my science.",0
"FFS, if this is an issue for you, simply make rectangular cakes. Simples.",1
Now I want some cake.,0
The prime cut? It has to be fillet!,0
"Now for all those not eating their birthday cake alone:
Please create a method to make all those slices equal in volume ;)",0
"I beat my friends at rock, paper , scs everytime xD",0
a cake never hold longer as 1 day so i thing its ussles :D,0
this is genius,0
"so, I'm an American but.... do you guys not just eat the whole cake in one sitting? because there usually isn't any cake left after a typical cake-having event.",0
this way people that eat first get the bigger portions...,0
"This is assuming I don't have friends, and that I would buy my own cake to make myself happy, because everyone forgot my birthday, which you'll be correct.",0
better to eat full..,0
"It had exactly 24,500 likes. Sorry",0
"he sounds like the narrator for Stanley Parable. 

also this would probably only work for fondant covered cake not one covered in frosting.",0
But this way the slices are all different sizes and the all important cake:icing ratio is ruined.,0
The moment when you realize THIS of all videos was featured on a news channel.,12
"so wait, you dont actualy eat the whole cake in one day?",0
Forever Alone cake cutting technique,0
"i'm hungry now :(
thumbs up :)",0
the guy sounds a bit like daffy duck.,0
I think he's overestimating how long a cake lasts in the average household.,828
"тест

тест

тест",0
All this video does is make me hungry...,0
On day 10 you have diabetes!,0
i really want a piece of cake now,0
now I just wanna eat cake,0
Your cake cutting technique has made me know sow much more about reality,0
I wil show this to my sister who is a catererCheck some linear animated Linear Algebra  videos,0
i want cake,0
This method is for people who celebrate their birthdays alone...,0
Saran Wrap? Tupperware? Aluminium foil? A covered cake stand? Maths....because we can.,106
"I wish he kept going until it was crazily tiny, and he couldn't cut it anymore without squishing it.",70
..day 2? What day 2?,0
Assuming that a cake lasts more than one day!,0
the best way is to eat it to eat it all the first day to eliminate dryness,0
"its so sad that he has no one to share the cake with, just eating it by himself day after day. well at least hes nailed the best way to cut it... :p",0
how to steel a cake,0
"Dude, I'm more worried on getting the same amount of cake as my contertulians than i am of saving for the next days perfectly",0
This only applies to people who actually have leftover cake.,257
The best way to cut a piece of cake in equal portions is to let one kid cut but let the other kids choose first :),1
"how about the first slice is very thin and the second slice thicker so it will be equal volume?

this way we will have equal slices but unfortuntely different area of icing",1
But the 3rd slice is already not perfect. You leave the gap,9
"I'm disappointed, I thought you were going to post the mathematical/psychological best way to distribute a cake among multiple people so they are all happy with the size of their slice. Also, obviously you're not going to eat one slice a day, who does that ?",10
This guy thinks there will be cake remaining for later ... 😅😅😅😅,0
Sorry but who puts cake in the fridge?!,3
"Hmm....when i leave the cake on the table and cover it instead of putting it in the fridge, I NEVER have issues with the bread getting dry. :/",0
What about rectangular cakes? Use the same principal?,0
That icing looks dry AF,0
"For an iced cake, this method is silly because the proportion of icing you eat will increase slice by slice. Therefore, by the end, you are eating just icing, which is gross",0
My problem is that you can't use a rubber band cake that is covered in icing and not fondant...,0
Those poor little rubber bands .o.,0
i just eat the whole cake in one sitting,0
Why do you always cut the elastic bands?,1
"Just eat the entire cake at once? It's not like you'll eat it alone, you'll eat it with friends and family so it won't be a problem finishing it",0
"This bothers me so much, they are acting like the most important part is to keep the inside of the cake moist. But guess what? THE FROSTING ALSO STALES. And the fist day of frosting is the best day, it's the softest, so here is my problem. The first slice has the worst cake to frosting ratio, and so the first day you eat less frosting than the rest, and the last day, you eat the most amount of frosting, but because it is the last day it's probably stiff. The frosting is not just to keep the cake soft, ITS THE BEST PART. Respect the frosting. Respect the ratio.",0
"And how you give equal amount of cake for multiple people if you cut it in a ""scientific"" way?",0
Haha licks finger in vid anti etiquette: 4:13,0
"this is so dis informative, full of lies. there is no mathematical way to cut a cake because the cake is a lie!",0
thanks,0
"I have a problem with something he said, and i am oging to paraphrase it horribly here, but here i go:
It really seems better not to have this weird trianglular slice, but instead this unififormal slice.""

The problem is that when you cut the cake that you described it, you actually DON'T end up with uniformal slices, each one is smaller than the next, while the trianglular stays the same size.",2
Just eat it!,0
how often do people say Alex is Michael Sheen?,0
"This may work out to a mathematician, but to a chef, this only works for cakes that have fondant on the outside, any soft icing and it would prove difficult to push the cake together once you've cut it.",1
"From what I can see, rather than getting slightly dried out pieces (or perfectly fine pieces if you're smart enough to use one of the many inexpensive ways out there of protecting cake - such as cling film or tupperware) , you now get mangled, odd and uneven shaped pieces that you've touched EVERYWHERE. And that rubberband only works if you have a hard shell (fondant) on your cake. This is the dumbest idea I've heard in a while.",2
what about cutting from the bottom?,0
There wasn't a refrigerator in 1903.,0
"This isn't very practical though. You have to touch the cake and you end up using a bunch of rubber bands.

My idea for cutting a cake? Stick it in a blender and puree it and pour cups out for your guests.",0
but their is a smaler proportion of the outside material on the first slices abd their is way to much on the last ones :0,0
"No, it's fine. We Americans typically eat the entire cake in one sitting.",81
why so many damn views,0
"I usually eat whole birthday cakes in one go, so never a problem for me. Mind you I'm 23 stone.",0
"Unless it's a mathematician's party, stating ""You're cutting this cake in a very faulty way"" will probably result in not being invited again.",103
"Scientific cake, engineering headache, technicians nightmare.",0
Mathematicians have the weirdest problems.,33
"Who cuts cake? Don't you just eat it all in one go?

But realy I don't have a sweet tooth.",0
"it is not a practical way, for a bigger creamy cakes",0
The cake is a lie.,51
I'd rather just eat the whole cake,0
there is something i don't understand on this method : why should one stop eating before all cake is eaten ?,1
what if it is a sponge cake with a very creamy icing on it... you will have your hands smeared every time you do that exercise,0
"Just put it under a cake cover, that'll keep it soft and yummy for a couple weeks. But only if it's metal or glass, plastic cake covers are rubbish.",0
or use cling film?,0
"Celebrating one of the main proponents for euthanasia? 
I expected more, Numberphile.",0
We get it bro you like moist cake,0
That fondant looks way too sweet.,0
"I don't see how this is superior. By day 2, the cake is gone in my house.",0
You even think about eating the entire cake in 1 go?,2
"dude, cake is supposed to be pretty! you don't put a rubber bands around cake!",0
+MagnetiCakes that's why you have so little subscribers,0
so sad.. you must be 'enjoying' some really lonesome birthday partys,0
The fact you worked this out is why your eating your birthday cake on your own slice at a time,2
this is not really practical because during a birthday party or smt the entire cake gets consumed in 1 day anyways,0
"Seriously! so much trouble? just cut the thinnest slice of the dry part, and throw it out. Uhfff",0
"This has to be the dumbest video on this channel, I can't believe you haven't deleted this out of embarrassment.",0
People LIKE birthday cake? I thought they just ate it because they feel like they have to.,1
Needs more Sheldon Cooper,0
And if you're not using fondant your unable to push your cake together and then frosting all over a rubber band. Ewwww no thank you. Just keep your normally cut cake in a proper container!,0
"Sorry but this is just silly because who doesn't eat the whole birthday cake in day one or gasp, day two or three?",0
This is an amazing new discovery by the scientists and mathematicians at Numberphile!,0
"now, how exactly do you split your whole cake into THREE EQUAL parts, such that they are Identical. COMPLETELY. (includes amount of frosting, yes this is what happens in my house during birthdays)",0
Kids in Africa could have eaten that cake.,0
And then Aluminium paper was invented,19
what does this have to do with numbers?,0
"What if I have chocolate or strawberry frosting or cream on the cake? We cant just squish the two leftover pieces together by hand and ruin the layers. Also, some air is going to seep in anyways. Just put the cake in an airtight container after you cut it to keep it safe.

Better, eat the whole cake.",0
This just goes to show you can really never predict what video is going to go absolutely viral lol. Dont get me wrong this is a great video but in my opinion there are many more equally interesting if not more interesting videos on Numberphile that have far fewer views .,0
anyone else want to bake a cake after watching this video?,0
wow... made me so hungry watching him cut up 2 cakes...,0
"This way of slicing = infinitely smaller proportions of cake, which = infinite cake (maybe)",0
Again I love it,0
People's faces when I cut the cake at the next birthday party...,130
"Damn, I want cake.",0
11.5 million views? What.,0
"Or you could just cut the cake, THE CLASSIC WAY!",0
"In portuguese (at least brazilian portuguese), we call it ""gráfico de pizza"", or pizza chart",0
発想は面白いが、見た目はかえって悪いのではないか。おうぎ形にカットすれば、上の面に書かれた文字などの原型をとどめやすいし。,0
can't...maths....want....cake!,0
You ruined cake for me😞😭,0
...Or refrigerate the cake sous vide,0
"That's how Germans cut their Christmas-""Stollen"".  Cut a slice out the the mid and push the 2 ends togheter.",1
Of course the British would have a scientific treatise on keeping your sweets fresh,0
"the normal way is better because you can always remove the dry layer of the cut
if you just remove the dry layer you will guarantee that the rest of the cut is fresh 
while in your way there are too many gaps even if you put them together still not like a new cake ! 
the problem with theory that it assumes that every thing is ideal 
but in real life nothing is ideal",0
Plastic wrap,0
who keeps cake for four days,0
"Who in the world cuts out just one slice at a time?!
I always cut the cake/pie in 6, 8, 10 or 12 pieces (depending on the size of the cake/pie) immediately, so they're all petty much the same size.",0
"When did fondant icing become so popular? One day, we all decided we were sick of buttercream, I guess.",0
Just cut it like usual and put plastic foil over it so it doesn't get dry.,0
I never leave any cake for day 2 so this has never been a problem for me. When everyone is done I just eat the rest.,0
what if the cake is not round?,11
just buy a small cake and eat it in one go with friends,0
"If I offered my friends a piece of cake and pulled from the refrigerator a cake cut in quarters and wrapped with a rubber band,  I'm pretty sure they would think twice about it.",0
"The Scientific Way to Cut a Cake if you're not at a party sharing out the entire thing with everybody and are instead intending to gorge on it yourself at the rate of one piece per day and leaving the leftovers in the fridge every night. I guess that wouldn't have fit in the title, but it's certainly a more accurate description for this.",0
just eat the damned cake,186
They had to do a study to figure this out smh,0
But how does one regulate the pieces?,0
#MegaCurioso,0
Haha this is how my dad cuts watermelons.,0
"what was the purpose of the mathematical way of cutting the cake? Surely not to equalise the sizes of each piece, therefore to just keep the cake dry for the next time of cutting another piece?",0
how is this scientific?  where is the hypothesis.. where is the argument?  this is mere repetition ..,0
"Great method, anyway I don't think it is that scientific.",0
Putting rubber bands and food together is a nice way to catch Botulism.,0
Just cut center of cake's side.,0
"This method is invalid as
cakes are meant to be shared by friends and family and therefore eaten at once on the same day.
The most important feature should be to ensure that all slices are the same size.",44
"btw, who celebrates his b'day alone? am sure most math-guys are not that quirky",0
stopping the vid and thinking about a possible solution for about a minute I came up with the first part of the solution. then I would have carried on in the same manner which would have turned a round cake more and more into a sort of egg-shape. the basic effect would have been the same. - wasnt really a big deal (I am no mathematician - but obviousely very interested in math),0
"I found this video extremly wrong, who the heck leaves left over cake?",0
This is why mathematicians are never taken seriously by the general public.,73
when your stoned but still want to learn something,0
Now I want cake really bad.,3
This method is only applicable in fondant cakes. Soft cakes with buttercream frosting will just stick on your hand when you push the cakes together.,1
"Mathematically, using this principle, the cake will never ever run out. 

So, nice job, cake-man! You theoretically created infinite cake by constantly cutting it into smaller pieces but never actually taking the last piece!",0
"those flat slices look pretty gross actually, i prefer the wedge. at a party we'll probably finish the whole thing anyway",0
"Also known as: ""The progressive infinitesimal way to turn a round cake into a square""
:P",0
Finally found a use for math.,0
the scientist cuts the cake like this. the engineer cuts it normally and uses wax paper to keep the cut parts moist.,1
REALLY THAT's The Scientific Way to Cut a Cake :(,0
today is chrismas lol i see this video again because to eat chrismas cake ALONE LOL,0
Esta wea vale callampa,0
"Yes but the wedge method is still superior because it will keep a constant icing to cake ratio. This method, although it will keep the cake fresher (implying you don't have cling wrap) will have more and more icing as you cut it. This results in an unsatisfying first piece and a way too sweet last piece.",3
"i came here for knowledge, instead, i got hungry.",1
"It's is scientifically proven, that the best way is to eat all at once.",2
Hmmm. Answers to questions nobody was asking?,0
"Hahaha, the Grapes of Math! How awesome. This video is so much fun! I would think with some cakes, you could just smear the frosting over the slice and keep it even fresher (clearly Americans like softer icing).",0
2:08,0
Just eat the damn oranges,0
just cut 1mm from the bottom every day :D,0
the scientific way might not be the most effective way... coz... each passing day.. ur piece of slice is going to decreases by a certain significant percentage... and why would you want to do that?,0
"Interesting. If, you'd like to stick with tradition and have a moist cake, just place a bit of plastic wrap over exposed area and place cake in a cake tin and skip the rubber bands.",0
"I also try to make a video in this way. That was very fun. I have your respect!
THX:D",0
"First, I really don't care about birthday cakes, second... I'd rather give it to a homeless person than eating my birthday cake one slice a day by myself... That's pathetic that you don't even have someone to share the damn cake...",0
11 mio. viewed how to cut a cake!!,0
No...the perfect way it to just finish it.,0
I prefer the old way,2
"That's great, but in the hundred years since that cake-obsessed scientist proposed his superior cake cutting method, we've invented something called clingfilm.",0
The method that this video shows makes a lot of sense.,0
Can I have a piece?,0
"He does look like Andy Serkis!
Someone said that in another video with him and now I can see it...",0
i should be studying,0
or use cling film?,0
This makes me really want cake,0
"A quick troll:
In France we calculate/count the number of people we invite for the birthday cake before to buy it. So there no left over :P",0
"Many cakes are very soft that you cannot move two parts together after cutting, especially fruit cake and cream cake.",30
"It works well when the cake is coated with fondant, but you can't smush your cake together with frosting. :/ That's why I just eat it all at once. :D",0
The most useless so-called 'scientific' video ever!,0
You know the logical way to do it? You got it. Plastic wrap.,0
Interesting! :),0
Or you could just cover it with a lid...,0
